id,bureauvote
DBV004850, EPP MADERA BV3
DBV004851, EPP MADERA BV1
DBV004854, CEG TSIMBAZAZA Salle 13
DBV004855, CEG TSIMBAZAZA Salle 5
DBV004856, CEG TSIMBAZAZA Salle 5
DBV004860, EPP ANDRAISORO S6
DBV004872, EPP ILANIVATO Salle 7A
DBV004875, EPP ILANIVATO Salle 1
DBV004877, EPP ILANIVATO Salle 1
DBV004878, EPP AMPANDRANA SALLE 02
DBV004879, EPP AMPANDRANA SALLE 03
DBV004881, EPP AVARADOHA SALLE 06
DBV004887, EPP MANARINTSOA Salle 01
DBV004888, EPP MANARINTSOA Salle 01
DBV004889, EPP MANARINTSOA Salle 05 A
DBV004891, EPP MANARINTSOA Salle 04 B
DBV004892, EPP MANARINTSOA Salle 10
DBV004894, EPP MANARINTSOA Salle 05 A
DBV004895, EPP III G HANGAR Salle 02
DBV004896, EPP III G HANGAR Salle 01
DBV004898, EPP ANDAVAMAMBA Salle 01
DBV004902, EPP III G HANGAR Salle 01
DBV004904, BUREAU FOKONTANY SALLE3
DBV004906, EPP ANTSARARAY SALLE1
DBV004907, EPP ANTSARARAY SALLE3
DBV004908, BUREAU FOKONTANY SALLE1
DBV004909, LYCEE ANOSISOA SALLE3
DBV004910, LYCEE ANOSISOA SALLE2
DBV004911, BUREAU FOKONTANY SALLE1
DBV004913, BUREAU FOKONTANY SALLE1
DBV004915, BUREAU FOKONTANY SALLE4
DBV004918, EPP ANTETEZANA AFOVOANY Salle 05
DBV004919, EPP ANTETEZANA AFOVOANY Salle 06
DBV004920, EPP ANDAVAMAMBA Salle 02
DBV004922, EPP ANDAVAMAMBA Salle 01
DBV004923, EPP ANDAVAMAMBA Salle 01
DBV004925, EPP ANDAVAMAMBA Salle 03
DBV004927, BUREAU FOKONTANY SALLE1
DBV004928, BUREAU FOKOTANY SALLE2
DBV004930, BUREAU FOKONTANY SALLE1
DBV004931, BUREAU FOKONTANY SALLE1
DBV004932, EPP AMPEFILOHA ANKENIHENY SALLE2
DBV004933, EPP AMPEFILOHA ANKENIHENY SALLE2
DBV004934, ASAMA S8
DBV004936, BUR FKT ANJANAHARY II O S2
DBV004938, BUR FKT ANJANAHARY II O S2
DBV004939, BUR FKT ANJANAHARY II O S3
DBV004941, BUR FKT ANJANAHARY II O S2
DBV004942, EPP MANJAKARAY S11
DBV004943, EPP MANJAKARAY S12
DBV004944, EPP MANJAKARAY S11
DBV004945, EPP MANJAKARAY S22
DBV004946, BUR FKT MANJAKARAY II C S1
DBV004947, BUR FKT MANJAKARAY II D S1
